label,N,P,K,temperature,humidity,rainfall,ph
Maize,93.454,40.722,40.725,25.726,58.615,773.194,6.041
Rice,80.0,20.0,40.0,20.0,90.0,1500.0,5.0
Potato,111.789,70.455,105.957,18.729,66.295,579.294,5.766
Cotton,92.406,51.172,30.684,24.139,52.722,1018.932,7.263
Tomato,98.046,75.537,83.127,21.538,68.753,672.198,6.654
Soybean,40.0,40.0,40.0,30.0,55.0,450.0,7.0
Tomato,120.0,60.0,100.0,18.0,80.0,500.0,7.0
Maize,96.369,48.679,30.945,23.159,65.91,741.68,6.691
Soybean,40.0,60.0,40.0,30.0,75.0,450.0,7.0
Sugarcane,108.603,50.421,77.09,23.64,76.489,1862.79,6.644
Rice,93.732,27.884,52.244,25.27,84.324,1676.613,6.008
Soybean,30.999,46.78,65.455,26.101,69.761,807.318,6.555
Sugarcane,99.589,39.347,68.515,23.656,83.346,1718.244,6.795
Wheat,84.473,28.492,33.64,16.856,57.593,494.616,6.837
Cotton,100.6,52.543,24.278,24.072,55.214,1086.232,6.441
Cotton,94.38,50.242,37.019,23.648,53.483,1010.73,7.043
Cotton,100.965,49.0,25.416,24.063,54.017,853.898,6.211
Soybean,40.0,40.0,40.0,20.0,75.0,450.0,7.0
Wheat,80.659,33.355,37.625,15.234,56.051,462.7,7.005
Cotton,101.812,47.542,33.998,23.32,51.998,923.363,6.578
Sugarcane,120.0,30.0,100.0,27.0,70.0,2250.0,6.0
Maize,102.533,40.065,30.013,23.288,66.883,807.508,6.044
Rice,120.0,20.0,80.0,20.0,75.0,2250.0,7.0
Maize,103.555,38.273,38.496,24.304,61.208,664.645,6.469
Wheat,76.481,31.122,29.075,18.574,57.321,562.111,6.672
Cotton,91.373,46.827,31.818,24.276,57.634,867.385,6.519
Sugarcane,97.707,45.92,81.573,21.571,80.94,1751.24,6.891
Tomato,103.367,72.601,72.463,20.854,73.182,567.703,6.591
Tomato,106.823,71.411,81.92,22.377,70.775,674.702,6.491
Tomato,93.039,66.397,85.018,20.492,71.909,629.221,6.679
Cotton,114.021,53.556,31.152,23.608,53.964,1054.248,6.827
Wheat,60.0,20.0,20.0,12.0,45.0,650.0,7.5
Potato,87.333,69.485,94.215,20.386,62.363,650.237,5.995
Tomato,98.839,76.604,81.675,24.449,71.8,636.39,6.518
Maize,102.874,46.147,40.394,23.359,70.646,662.465,6.643
Rice,120.0,20.0,40.0,20.0,75.0,1500.0,7.0
Soybean,20.0,40.0,40.0,20.0,75.0,900.0,6.0
Wheat,89.628,23.776,31.868,19.653,61.564,439.948,7.152
Cotton,95.787,46.802,28.463,24.62,60.718,727.465,6.428
Wheat,78.003,27.678,31.428,19.008,49.698,436.805,6.856
Tomato,97.382,72.106,81.197,24.24,70.366,555.692,6.668
Soybean,31.235,49.633,50.027,25.507,65.888,608.341,6.274
Potato,100.601,68.135,108.611,19.332,58.688,615.664,5.87
Maize,105.791,43.21,41.916,24.155,55.848,674.461,6.483
Sugarcane,80.0,60.0,100.0,21.0,70.0,2250.0,7.5
Potato,100.57,68.628,96.996,20.112,68.21,636.61,6.106
Sugarcane,92.751,44.183,65.725,23.822,76.552,1686.891,7.481
