date,sales,product_category,region,store,promo_flag
2023-01-01,1002.32,Grocery,North,Store B,0
2023-01-01,1064.67,Grocery,South,Store B,0
2023-01-01,1131.69,Grocery,East,Store A,0
2023-01-01,1342.42,Grocery,West,Store A,0
2023-01-01,1078.71,Electronics,North,Store B,0
2023-01-01,1278.42,Electronics,South,Store B,0
2023-01-01,1319.22,Electronics,East,Store A,0
2023-01-01,1535.81,Electronics,West,Store A,0
2023-01-01,901.12,Fashion,North,Store B,0
2023-01-01,979.87,Fashion,South,Store B,0
2023-01-01,1046.37,Fashion,East,Store A,0
2023-01-01,1224.09,Fashion,West,Store A,0
2023-01-01,756.36,Home,North,Store C,0
2023-01-01,918.82,Home,South,Store C,0
2023-01-01,861.65,Home,East,Store B,0
2023-01-01,942.21,Home,West,Store B,0
2023-01-02,819.89,Grocery,North,Store C,0
2023-01-02,857.46,Grocery,South,Store C,0
2023-01-02,936.32,Grocery,East,Store B,0
2023-01-02,1048.36,Grocery,West,Store B,0
2023-01-02,952.07,Electronics,North,Store C,0
2023-01-02,1057.87,Electronics,South,Store C,0
2023-01-02,1135.85,Electronics,East,Store B,0
2023-01-02,1256.39,Electronics,West,Store B,0
2023-01-02,708.29,Fashion,North,Store C,0
2023-01-02,813.69,Fashion,South,Store C,0
2023-01-02,842.03,Fashion,East,Store B,0
2023-01-02,982.13,Fashion,West,Store B,0
2023-01-02,899.5,Home,North,Online,0
2023-01-02,1021.76,Home,South,Online,0
2023-01-02,796.0,Home,East,Store C,0
2023-01-02,780.43,Home,West,Store C,0
2023-01-03,1052.26,Grocery,North,Online,0
2023-01-03,1185.1,Grocery,South,Online,0
2023-01-03,869.6,Grocery,East,Store C,0
2023-01-03,1051.32,Grocery,West,Store C,0
2023-01-03,1293.92,Electronics,North,Online,0
2023-01-03,1433.79,Electronics,South,Online,0
2023-01-03,960.36,Electronics,East,Store C,0
2023-01-03,1226.21,Electronics,West,Store C,0
2023-01-03,1029.75,Fashion,North,Online,0
2023-01-03,1155.51,Fashion,South,Online,0
2023-01-03,728.3,Fashion,East,Store C,0
2023-01-03,918.16,Fashion,West,Store C,0
2023-01-03,743.64,Home,North,Store A,0
2023-01-03,851.21,Home,South,Store A,0
2023-01-03,964.33,Home,East,Online,0
2023-01-03,1097.02,Home,West,Online,0
2023-01-04,945.78,Grocery,North,Store A,0
2023-01-04,1037.79,Grocery,South,Store A,0
2023-01-04,1145.13,Grocery,East,Online,0
2023-01-04,1371.36,Grocery,West,Online,0
2023-01-04,1013.06,Electronics,North,Store A,0
2023-01-04,1226.81,Electronics,South,Store A,0
2023-01-04,1333.03,Electronics,East,Online,0
2023-01-04,1573.36,Electronics,West,Online,0
2023-01-04,816.32,Fashion,North,Store A,0
2023-01-04,1028.66,Fashion,South,Store A,0
2023-01-04,985.91,Fashion,East,Online,0
2023-01-04,1276.62,Fashion,West,Online,0
2023-01-04,603.87,Home,North,Store B,0
2023-01-04,774.32,Home,South,Store B,0
2023-01-04,779.47,Home,East,Store A,0
2023-01-04,944.28,Home,West,Store A,0
2023-01-05,1068.91,Grocery,North,Store B,1
2023-01-05,1215.85,Grocery,South,Store B,1
